Index,Day,Time,Probability,Boosted Probability,Boosted People,Special Notes,Type,Michael,Jacob,Gavin,Lawrence,Nathan,Gabby,Raymond,Chris,Kurumi,Ethan,Chloe,Aidan,Justin,Lilly,Mudkip,Will,James,Denzel
0,Oct 1,0,"{0:0.75, 1:0.25}",NaN,NaN,mrs. johnson,no_skip,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,NaN
1,Oct 1,20,"{0:0.75, 1:0.25}",NaN,NaN,mrs. johnson,no_skip,0,0,NaN,0,1,0,0,0,NaN,0,NaN,1,NaN,1,1,NaN,NaN,NaN
2,Oct 2,0,"{0:0.75, 1:0.25}",NaN,NaN,mrs. johnson,no_skip,0,0,1,NaN,1,0,0,0,NaN,0,0,NaN,0,1,0,0,0,NaN
3,Oct 2,-1,"{0:0.75, 6:0.25}",NaN,NaN,horse derby,no_skip,0,0,0,NaN,0,6,0,0,NaN,0,0,0,6,0,0,6,0,NaN
4,Oct 2,20,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,0,0,0,NaN,0,1,0,0,2,2,1,0,0,0,1,NaN,0,NaN
5,Oct 3,0,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,2,1,0,1,1,1,1,0,2,2,NaN,NaN,1,NaN,0,NaN,NaN,NaN
6,Oct 3,20,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,1,1,NaN,1,3,1,1,1,NaN,1,NaN,NaN,2,1,NaN,NaN,0,NaN
7,Oct 4,0,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,"mr. kim, two 1% pulls!",no_skip,1,1,0,2,0,NaN,1,1,10,0,10,3,3,1,1,NaN,0,NaN
8,Oct 4,20,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,0,1,2,0,1,0,0,1,NaN,0,2,2,2,1,1,NaN,0,NaN
9,Oct 5,0,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,mr. kim,no_skip,0,0,3,0,0,1,1,0,0,0,2,NaN,0,0,1,NaN,0,NaN
10,Oct 5,1,"{5:0.5, 8:0.35, 10:0.1, 18:0.04, 30:0.01}",NaN,NaN,giovanni,no_skip,NaN,NaN,NaN,NaN,5,8,5,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Oct 5,-1,"{8:0.25, 0:0.75}",NaN,NaN,horse derby,no_skip,0,NaN,0,0,0,0,0,0,0,0,0,8,0,8,0,8,8,NaN
12,Oct 5,8,"{0:0.5, 1:0.35, 2:0.1, 3:0.04, 10:0.01}",NaN,NaN,giovanni,no_skip,1,0,0,1,NaN,1,NaN,1,NaN,1,0,0,0,1,NaN,NaN,NaN,NaN
13,Oct 6,0,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,2,0,2,0,0,2,4,4,2,0,2,0,2,4,2,NaN,2,NaN
14,Oct 6,19,"{5:0.5, 8:0.35, 10:0.1, 18:0.04, 30:0.01}",NaN,NaN,"giovanni, 1% pull!",no_skip,NaN,NaN,NaN,NaN,5,8,5,8,8,NaN,5,30,NaN,NaN,NaN,NaN,NaN,NaN
15,Oct 6,20,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,2,4,NaN,NaN,4,4,2,4,NaN,2,4,0,2,6,2,NaN,6,NaN
16,Oct 7,0,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,0,4,4,0,2,4,4,0,0,2,0,NaN,0,6,2,NaN,4,NaN
17,Oct 7,20,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,0,2,2,4,0,0,2,2,NaN,0,NaN,0,0,2,NaN,NaN,4,NaN
18,Oct 8,0,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,4,2,2,NaN,2,0,0,0,NaN,18,NaN,NaN,4,2,0,NaN,2,NaN
19,Oct 8,20,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,"esmerelda, ethan ping wrong",no_skip,0,2,0,2,NaN,6,2,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,4,NaN
20,Oct 9,0,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,0,0,2,0,4,0,2,0,0,4,NaN,NaN,6,NaN,4,NaN,0,NaN
21,Oct 9,20,"{0:0.38, 2:0.37, 4:0.18, 6:0.05, 18:0.02}",NaN,NaN,esmerelda,no_skip,0,0,NaN,2,0,6,2,0,NaN,2,0,0,2,6,NaN,NaN,0,NaN
